field_id,business_name,target_path,data_layer,source_document,source_location_type,source_unit,target_unit,criticality,extraction_method,target_nodes,missing_policy,conflict_policy,evidence_required,value_type,cardinality,contract_sources,node_requirement,default_or_prior,mapping_coverage,extraction_coverage,assembly_coverage,coverage_gap,notes
engineering_indicator.ignition_congestion.vce_given_delayed_probability,延迟点火后VCE条件概率,engineering_indicators.observations_by_segment.*.ignition_congestion.vce_given_delayed_probability,PROJECT_FACT,10_现场照片说明.png,bbox,,,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标ignition_congestion.vce_given_delayed_probability；组：点火源、约束与拥塞；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.corrosion_growth_rate_mm_year,腐蚀增长率,engineering_indicators.observations_by_segment.*.inspection_integrity.corrosion_growth_rate_mm_year,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,mm/year,mm/year,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.corrosion_growth_rate_mm_year；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.crack_count,裂纹数量,engineering_indicators.observations_by_segment.*.inspection_integrity.crack_count,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,count,count,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,integer,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.crack_count；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.dent_count,凹陷数量,engineering_indicators.observations_by_segment.*.inspection_integrity.dent_count,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,count,count,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,integer,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.dent_count；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.external_corrosion_anomaly_count,外腐蚀异常数量,engineering_indicators.observations_by_segment.*.inspection_integrity.external_corrosion_anomaly_count,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,count,count,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,integer,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.external_corrosion_anomaly_count；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.field_verification_count,开挖验证数量,engineering_indicators.observations_by_segment.*.inspection_integrity.field_verification_count,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,count,count,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,integer,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.field_verification_count；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.field_verification_match_fraction,开挖验证符合率,engineering_indicators.observations_by_segment.*.inspection_integrity.field_verification_match_fraction,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,%,fraction,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.field_verification_match_fraction；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.ili_coverage_fraction,内检测覆盖率,engineering_indicators.observations_by_segment.*.inspection_integrity.ili_coverage_fraction,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,%,fraction,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.ili_coverage_fraction；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.ili_depth_tolerance_mm,缺陷深度测量误差,engineering_indicators.observations_by_segment.*.inspection_integrity.ili_depth_tolerance_mm,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,mm,mm,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.ili_depth_tolerance_mm；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.ili_detection_threshold_mm,内检测检出阈值,engineering_indicators.observations_by_segment.*.inspection_integrity.ili_detection_threshold_mm,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,mm,mm,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.ili_detection_threshold_mm；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.ili_technology,内检测技术类型,engineering_indicators.observations_by_segment.*.inspection_integrity.ili_technology,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,,,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,string,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.ili_technology；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.internal_corrosion_anomaly_count,内腐蚀异常数量,engineering_indicators.observations_by_segment.*.inspection_integrity.internal_corrosion_anomaly_count,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,count,count,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,integer,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.internal_corrosion_anomaly_count；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.latest_ili_date,最近内检测日期,engineering_indicators.observations_by_segment.*.inspection_integrity.latest_ili_date,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,,,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,date,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.latest_ili_date；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.maximum_corrosion_depth_ratio,最大腐蚀深度比,engineering_indicators.observations_by_segment.*.inspection_integrity.maximum_corrosion_depth_ratio,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,,,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.maximum_corrosion_depth_ratio；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.maximum_corrosion_length_mm,最大腐蚀轴向长度,engineering_indicators.observations_by_segment.*.inspection_integrity.maximum_corrosion_length_mm,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,mm,mm,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.maximum_corrosion_length_mm；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.repair_count,历史修复数量,engineering_indicators.observations_by_segment.*.inspection_integrity.repair_count,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,count,count,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,integer,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.repair_count；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.inspection_integrity.unrepaired_critical_anomaly_count,未修复临界缺陷数量,engineering_indicators.observations_by_segment.*.inspection_integrity.unrepaired_critical_anomaly_count,PROJECT_FACT,05_缺陷与维修记录.docx,paragraph,count,count,IMPORTANT,llm,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,integer,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标inspection_integrity.unrepaired_critical_anomaly_count；组：检测、缺陷与维修；要求：CONDITIONAL。
engineering_indicator.internal_corrosion.chloride_concentration_mg_l,液相氯离子浓度,engineering_indicators.observations_by_segment.*.internal_corrosion.chloride_concentration_mg_l,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,mg/L,mg/L,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标internal_corrosion.chloride_concentration_mg_l；组：内腐蚀与介质腐蚀性；要求：CONDITIONAL。
engineering_indicator.internal_corrosion.co2_partial_pressure_mpa,二氧化碳分压,engineering_indicators.observations_by_segment.*.internal_corrosion.co2_partial_pressure_mpa,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,MPa,MPa,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标internal_corrosion.co2_partial_pressure_mpa；组：内腐蚀与介质腐蚀性；要求：CONDITIONAL。
engineering_indicator.internal_corrosion.corrosion_inhibitor_used,缓蚀剂使用,engineering_indicators.observations_by_segment.*.internal_corrosion.corrosion_inhibitor_used,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,,,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,boolean,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标internal_corrosion.corrosion_inhibitor_used；组：内腐蚀与介质腐蚀性；要求：CONDITIONAL。
engineering_indicator.internal_corrosion.coupon_corrosion_rate_mm_year,挂片腐蚀速率,engineering_indicators.observations_by_segment.*.internal_corrosion.coupon_corrosion_rate_mm_year,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,mm/year,mm/year,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标internal_corrosion.coupon_corrosion_rate_mm_year；组：内腐蚀与介质腐蚀性；要求：CONDITIONAL。
engineering_indicator.internal_corrosion.free_water_probability,游离水出现概率,engineering_indicators.observations_by_segment.*.internal_corrosion.free_water_probability,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,,,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标internal_corrosion.free_water_probability；组：内腐蚀与介质腐蚀性；要求：CONDITIONAL。
engineering_indicator.internal_corrosion.h2s_partial_pressure_mpa,硫化氢分压,engineering_indicators.observations_by_segment.*.internal_corrosion.h2s_partial_pressure_mpa,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,MPa,MPa,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标internal_corrosion.h2s_partial_pressure_mpa；组：内腐蚀与介质腐蚀性；要求：CONDITIONAL。
engineering_indicator.internal_corrosion.inhibitor_availability_fraction,缓蚀剂有效投加率,engineering_indicators.observations_by_segment.*.internal_corrosion.inhibitor_availability_fraction,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,%,fraction,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标internal_corrosion.inhibitor_availability_fraction；组：内腐蚀与介质腐蚀性；要求：CONDITIONAL。
engineering_indicator.internal_corrosion.internal_corrosion_leak_history_count,内腐蚀泄漏历史次数,engineering_indicators.observations_by_segment.*.internal_corrosion.internal_corrosion_leak_history_count,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,count,count,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,integer,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标internal_corrosion.internal_corrosion_leak_history_count；组：内腐蚀与介质腐蚀性；要求：CONDITIONAL。
engineering_indicator.internal_corrosion.liquid_ph,液相pH,engineering_indicators.observations_by_segment.*.internal_corrosion.liquid_ph,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,,,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标internal_corrosion.liquid_ph；组：内腐蚀与介质腐蚀性；要求：CONDITIONAL。
engineering_indicator.internal_corrosion.low_point_liquid_holdup,低点积液,engineering_indicators.observations_by_segment.*.internal_corrosion.low_point_liquid_holdup,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,,,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,boolean,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标internal_corrosion.low_point_liquid_holdup；组：内腐蚀与介质腐蚀性；要求：CONDITIONAL。
engineering_indicator.internal_corrosion.microbial_activity_detected,微生物腐蚀迹象,engineering_indicators.observations_by_segment.*.internal_corrosion.microbial_activity_detected,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,,,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,boolean,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标internal_corrosion.microbial_activity_detected；组：内腐蚀与介质腐蚀性；要求：CONDITIONAL。
engineering_indicator.internal_corrosion.pigging_interval_days,清管周期,engineering_indicators.observations_by_segment.*.internal_corrosion.pigging_interval_days,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,day,day,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标internal_corrosion.pigging_interval_days；组：内腐蚀与介质腐蚀性；要求：CONDITIONAL。
engineering_indicator.internal_corrosion.probe_corrosion_rate_mm_year,探针腐蚀速率,engineering_indicators.observations_by_segment.*.internal_corrosion.probe_corrosion_rate_mm_year,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,mm/year,mm/year,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标internal_corrosion.probe_corrosion_rate_mm_year；组：内腐蚀与介质腐蚀性；要求：CONDITIONAL。
engineering_indicator.internal_corrosion.solid_deposit_detected,固体沉积物存在,engineering_indicators.observations_by_segment.*.internal_corrosion.solid_deposit_detected,PROJECT_FACT,04_CIPS与腐蚀检测.xlsx,cell,,,IMPORTANT,deterministic,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,boolean,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,NOT_MAPPED,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,DETERMINISTIC_MAPPING_GAP,工程指标internal_corrosion.solid_deposit_detected；组：内腐蚀与介质腐蚀性；要求：CONDITIONAL。
engineering_indicator.management_emergency.alarm_response_time_s,报警响应时间,engineering_indicators.observations_by_segment.*.management_emergency.alarm_response_time_s,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,s,s,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标management_emergency.alarm_response_time_s；组：运行管理、人因与应急；要求：CONDITIONAL。
engineering_indicator.management_emergency.audit_nonconformity_open_count,未关闭审核不符合项,engineering_indicators.observations_by_segment.*.management_emergency.audit_nonconformity_open_count,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,count,count,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,integer,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标management_emergency.audit_nonconformity_open_count；组：运行管理、人因与应急；要求：CONDITIONAL。
engineering_indicator.management_emergency.emergency_drills_per_year,年应急演练次数,engineering_indicators.observations_by_segment.*.management_emergency.emergency_drills_per_year,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,1/year,1/year,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,number,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标management_emergency.emergency_drills_per_year；组：运行管理、人因与应急；要求：CONDITIONAL。
engineering_indicator.management_emergency.emergency_isolation_procedure_available,紧急隔离程序可用,engineering_indicators.observations_by_segment.*.management_emergency.emergency_isolation_procedure_available,PROJECT_FACT,09_现场检查扫描件.pdf,page/bbox,,,IMPORTANT,ocr,adaptive_evidence_qra|data_inventory|indicator_coverage,OMIT_AND_RECORD_GAP_NO_SILENT_ZERO,BLOCK_AND_REQUIRE_HUMAN_DECISION,true,boolean,MANY,FIELD_DICTIONARY,OPTIONAL_CONTRACT_FIELD,NONE,RAW_CATEGORY_BRIDGE_AVAILABLE,FIELD_DICTIONARY_SUPPORTED,GENERIC_REVIEW_ASSEMBLY_REQUIRES_ENTITY_CONTAINER,NONE,工程指标management_emergency.emergency_isolation_procedure_available；组：运行管理、人因与应急；要求：REQUIRED。
